feedback_id,feedback_text,sentiment_label
FB_00001,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00002,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00003,The internship experience was highly beneficial. I really enjoyed working on data analysis projects and learned so much about project management.,positive
FB_00004,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00005,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00006,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00007,It was a standard internship experience. I completed my assignments in UX Design.,neutral
FB_00008,The internship experience was extremely rewarding. I really enjoyed working on data analysis projects and learned so much about data visualization.,positive
FB_00009,The program was acceptable. I learned some skills in project management during my time here.,neutral
FB_00010,"The Research program needs improvement. Specifically, the feedback mechanism was disappointing.",negative
FB_00011,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00012,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00013,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00014,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral
FB_00015,The internship experience was exceptionally valuable. I really enjoyed working on data analysis projects and learned so much about team collaboration.,positive
FB_00016,The internship experience was excellent. I really enjoyed working on business analysis and learned so much about Python programming.,positive
FB_00017,The internship experience was highly beneficial. I really enjoyed working on marketing campaigns and learned so much about team collaboration.,positive
FB_00018,The internship was adequate. I worked on business analysis and gained experience in team collaboration.,neutral
FB_00019,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00020,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral
FB_00021,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00022,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00023,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00024,The program was acceptable. I learned some skills in Python programming during my time here.,neutral
